Study Name,Authors,Year,DOI/URL,Dataset,Study Description,Paradigm Type,Stimulus Type,Stimulus Description,Composer,Passage Name,Passage Length,Musical Features Analyzed,Task Description,Number of Participants,Demographics,Musical Training,EEG System Used,Channel Count,Findings,Sampling Rate,Recording Environment,Data Format,Preprocessing,License,EEG Analysis Techniques,Statistical Tests,Event Markers,Publication
"Brain Indices of Music Processing: ""Nonmusicians"" are Musical","Koelsch, S., Gunter, T., Friederici, A. D., & Schröger, E. ",2000,https://doi.org/10.1162/089892900562183,NA,EEG was recorded while nonmusicians listened to chord sequences with harmonic violations to assess ERPs related to expectancy.,Controlled,Chords/Melody,"Same 5-chord sequences as Exp. 1, but Neapolitan chords replaced by dissonant tone clusters (nonharmonic violations)",NA,NA,~5 seconds,"Violation magnitude and integration difficulty (ERAN, N5, P3a, P3b)",Passive listening with covert counting of deviant instrument chords,18,"Adult nonmusicians (ages ~21–29, mixed gender)",No Formal Training,Not Reported,"25 channels, 10-20 system","Stronger ERAN and N5 than Neapolitans, especially at the 3rd position, indicating greater violation due to both tonal and harmonic incongruity.",250 Hz,Acoustically and electrically shielded room,Digital EEG traces,Bandpass filtering (0.5–40 Hz); artifact rejection,Copyright Massachusetts Institute of Technology Journal of Cognitive Neuroscience,"ERP analysis (ERAN, N5, P3 components)",Repeated-measures ANOVA,Chord position markers; cluster occurrence,"Journal of Cognitive Neuroscience 12 (3), 2000"
"Brain Indices of Music Processing: ""Nonmusicians"" are Musical","Koelsch, S., Gunter, T., Friederici, A. D., & Schröger, E. ",2000,https://doi.org/10.1162/089892900562183,NA,EEG was recorded while nonmusicians listened to chord sequences with harmonic violations to assess ERPs related to expectancy.,Controlled,Chords/Melody,Chord sequences with Neapolitan chords; participants explicitly instructed to detect harmonic violations,NA,NA,~5 seconds,"Harmonic violation processing modulated by attention (ERAN, P3a, P3b, N5)",Active detection of Neapolitan chords (task-relevant),18,"Adult nonmusicians (ages ~21–29, mixed gender)",No Formal Training,Not Reported,"25 channels, 10-20 system","ERAN remained present and amplitude unchanged, even when task relevance increased. Additional P3 components emerged, especially for detected chords, showing attentional engagement.",250 Hz,Acoustically and electrically shielded room,Digital EEG traces,Bandpass filtering (0.5–40 Hz); artifact rejection,Copyright Massachusetts Institute of Technology Journal of Cognitive Neuroscience,"ERP analysis (ERAN, N5, P3 components)",Repeated-measures ANOVA,Chord position markers; behavioral detection markers,"Journal of Cognitive Neuroscience 12 (3), 2000"
"Brain Indices of Music Processing: ""Nonmusicians"" are Musical","Koelsch, S., Gunter, T., Friederici, A. D., & Schröger, E. ",2000,https://doi.org/10.1162/089892900562183,NA,EEG was recorded while nonmusicians listened to chord sequences with harmonic violations to assess ERPs related to expectancy.,Controlled,Chords/Melody,Chord sequences where the probability of out-of-key chords was varied to study expectancy,NA,NA,~5 seconds,"Effects of probability on harmonic violation processing (ERAN, N5)",Passive listening without explicit task instructions,18,"Adult nonmusicians (ages ~21–29, mixed gender)",No Formal Training,Not Reported,"25 channels, 10-20 system","As violation frequency decreased, ERAN and N5 amplitudes increased, confirming sensitivity to violation probability. This supports ERAN as an implicit marker of musical expectation, even in nonmusicians.",250 Hz,Acoustically and electrically shielded room,Digital EEG traces,Bandpass filtering (0.5–40 Hz); artifact rejection,Copyright Massachusetts Institute of Technology Journal of Cognitive Neuroscience,"ERP analysis (ERAN, N5)",Repeated-measures ANOVA,Probability markers (frequency of deviant chords),"Journal of Cognitive Neuroscience 12 (3), 2000"
Differentiating ERAN and MMN: An ERP Study,"Stefan Koelsch, Thomas C. Gunter, Erich Schröger, Mari Tervaniemi, Daniela Sammler, Angela D. Friederici",2001,https://doi.org/10.1097/00001756-200105250-00019,NA,Investigated whether the ERAN reflects cognitive processing of complex musical syntax compared to MMN.,Controlled,Synthesized Music/Tone,Tone pairs rising or falling in pitch (abstract feature MMN),NA,NA,5 events per sequence (tone pairs),Abstract feature (pitch direction),Play videogame while ignoring sounds,28,"Right-handed adults (ages 19–28), 15 female",Nonmusicians (no formal training),Extended 10–20 EEG system,41 channels,Deviant tone pairs elicited abstract feature MMN at ~160 ms; no difference in amplitude between 3rd and 5th position.,250 Hz,EEG booth with video game distraction,Digital EEG traces,"Bandpass 0.25–25 Hz; artifact rejection for drift, EOG; baseline -50 to 0 ms",Lippincott Williams & Wilkins (2001),ERP (MMN extraction),Repeated-measures ANOVA,Second tone onset of tone pair,NeuroReport 12(7):1385–1389
Differentiating ERAN and MMN: An ERP Study,"Stefan Koelsch, Thomas C. Gunter, Erich Schröger, Mari Tervaniemi, Daniela Sammler, Angela D. Friederici",2001,https://doi.org/10.1097/00001756-200105250-00019,NA,Investigated whether the ERAN reflects cognitive processing of complex musical syntax compared to MMN.,Controlled,Chords/Melody,Five-chord harmonic sequences with occasional Neapolitan chords,NA,NA,5 chords per sequence,Musical syntax (harmonic appropriateness),Play videogame while ignoring sounds,28,"Right-handed adults (ages 19–28), 15 female",Nonmusicians (no formal training),Extended 10–20 EEG system,41 channels,"Neapolitan chords elicited ERAN at ~200 ms; ERAN larger at 5th vs 3rd position, indicating context-dependent musical expectancy processing.",250 Hz,EEG booth with video game distraction,Digital EEG traces,"Bandpass 0.25–25 Hz; artifact rejection for drift, EOG; baseline -50 to 0 ms",Lippincott Williams & Wilkins (2001),ERP (ERAN extraction),Repeated-measures ANOVA,Chord onset (3rd and 5th position),NeuroReport 12(7):1385–1389
Differentiating ERAN and MMN: An ERP Study,"Stefan Koelsch, Thomas C. Gunter, Erich Schröger, Mari Tervaniemi, Daniela Sammler, Angela D. Friederici",2001,https://doi.org/10.1097/00001756-200105250-00019,NA,Investigated whether the ERAN reflects cognitive processing of complex musical syntax compared to MMN.,Controlled,Synthesized Music/Tone,Single 440 Hz standard tones and 496 Hz deviant tones,NA,NA,5 tones per sequence,Pitch deviation,Play videogame while ignoring sounds,28,"Right-handed adults (ages 19–28), 15 female",Nonmusicians (no formal training),Extended 10–20 EEG system,41 channels,Deviant tones elicited frequency MMN at ~100 ms; no difference in MMN amplitude between 3rd and 5th position.,250 Hz,EEG booth with video game distraction,Digital EEG traces,"Bandpass 0.25–25 Hz; artifact rejection for drift, EOG; baseline -50 to 0 ms",Lippincott Williams & Wilkins (2001),ERP (frequency MMN extraction),Repeated-measures ANOVA,Tone onset (3rd and 5th position),NeuroReport 12(7):1385–1389
Brain Electrical Activity Evoked by Mental Formation of Auditory Expectations and Images,Petr Janata,2001,https://doi.org/10.1023/A:1007803102254,NA,ERP topographies were examined in response to internally generated auditory imagery and stimulus omissions using melodic fragments with varying expectancy and imagery tasks.,Controlled,Synthesized Music/Tone,D-major scale melodic fragments with brass timbre,NA,NA,"4 seconds (8 notes, 500 ms each)","Imagery, Expectancy, ERP (N100, P200, P300)",Active listening and imagery with timed lever presses during melody completions,7,"Mixed gender, ages 18–42. ≥10 years musical training (mean = 20.7)",Extensive Training (>10 years),Electrical Geodesics Inc. Geodesic Electrode Net,"128 channels, 10-20 system (extended)","Emitted potentials occurred during imagery of the final three notes, with N100-like topographies resembling auditory-evoked potentials, including P200 and a P300-like centro-parietal positivity.",125 Hz,Sound-treated room,Digital EEG traces,"Artifact rejection, Baseline correction, Bandpass filtering at 50 Hz, ERP averaging","Human Sciences Press, Inc.","ERP averaging, Topographic mapping, Permutation analysis","Repeated-measures ANOVA, Scheffé comparisons",Time-locked to imagined note onsets and omissions,Brain Topography 13(3):169–187
Brain Electrical Activity Evoked by Mental Formation of Auditory Expectations and Images,Petr Janata,2001,https://doi.org/10.1023/A:1007803102254,NA,ERP topographies were examined in response to internally generated auditory imagery and stimulus omissions using melodic fragments with varying expectancy and imagery tasks.,Controlled,Synthesized Music/Tone,D-major scale melodic fragments with brass timbre,NA,NA,"4 seconds (8 notes, 500 ms each)","Imagery, Expectancy, ERP (N100, P200), Omissions, Continuations",Imagery task with delayed probe judgment or cue-validity task with attention control,3,"Ages 32–40, Mixed gender. ≥22 years musical training (mean = 25.3)",Extensive Training (>10 years),Electrical Geodesics Inc. Geodesic Electrode Net,"129 channels, 10-20 system (extended)","ERP topographies differed significantly between imagery and non-imagery conditions; emitted potentials occurred only when subjects imagined notes, showing early activity similar to heard tones, and topographical differences during expectancy violations.",250 Hz,Sound-treated room,Digital EEG traces,"Artifact rejection, Z-score standardization, Spline interpolation","Human Sciences Press, Inc.","ERP averaging, Correlation matrix analysis, D-statistic permutation","Bonferroni-corrected correlation, Permutation test",Time-locked to expected and omitted note onsets,Brain Topography 13(3):169–187
Musicians and the gamma band: a secret affair?,"Joydeep Bhattacharya, Hellmuth Petsche",2001,https://doi.org/10.1097/00001756-200102120-00037,NA,EEG phase synchrony during passive listening to music or text was compared between musicians and non-musicians.,Controlled,Complete Musical Piece,French Suite No. 5 (Gigue) for Harpsichord,Johann Sebastian Bach,"French Suite No. 5, Gigue",90 seconds,"Gamma band (30–50 Hz), Phase synchrony, Hemispheric lateralization",Passive listening to Bach harpsichord piece,20,"Right-handed adult males, 10 musicians (≥5 years training) and 10 nonmusicians, mean age ~25.5","Mixed Groups, Moderate Training (5-10 years)",Not Reported,"19 channels, 10-20 system (Fz, Cz, Pz, etc.)","Music listening induced significantly higher gamma-band phase synchrony in musicians than non-musicians, especially in midline and left-hemispheric regions.",128 Hz,Laboratory recording setting,Not reported,"Baseline drift removal, Bandpass filtering, Hilbert transform, Windowed averaging",Lippincott Williams & Wilkins,"Phase synchrony index via Hilbert transform, Topographic profiling, Normalization","Wilcoxon test, Mann-Whitney rank sum, Entropy-based statistics",Time-locked to continuous music listening,NeuroReport 12(2):371–374
Musicians and the gamma band: a secret affair?,"Joydeep Bhattacharya, Hellmuth Petsche",2001,https://doi.org/10.1097/00001756-200102120-00037,NA,EEG phase synchrony during passive listening to music or text was compared between musicians and non-musicians.,Controlled,Spoken Text,Neutral German short story read aloud by female speaker,H. Weigel,Verständigung gegen die Nachwelt,90 seconds,"Gamma band (30–50 Hz), Phase synchrony, Hemispheric lateralization",Passive listening to neutral spoken story,20,"Right-handed adult males, 10 musicians (≥5 years training) and 10 nonmusicians, mean age ~25.5","Mixed Groups, Moderate Training (5-10 years)",Not Reported,"19 channels, 10-20 system (Fz, Cz, Pz, etc.)",No significant differences between groups were observed during text listening; phase synchrony was generally lower across all participants.,128 Hz,Laboratory recording setting,Not reported,"Baseline drift removal, Bandpass filtering, Hilbert transform, Windowed averaging",Lippincott Williams & Wilkins,"Phase synchrony index via Hilbert transform, Topographic profiling, Normalization","Wilcoxon test, Mann-Whitney rank sum, Entropy-based statistics",Time-locked to continuous text listening,NeuroReport 12(2):371–374
Automatic Encoding of Polyphonic Melodies in Musicians and Nonmusicians,"Takako Fujioka, Laurel J. Trainor, Bernhard Ross, Ryusuke Kakigi, Christo Pantev",2005,https://doi.org/10.1162/089892905774597263,NA,Study examined MMNm responses to deviant notes in polyphonic and monophonic melodic contexts in musicians and nonmusicians.,Controlled,Chords/Melody,Two 5-note melodies (A and B) combined polyphonically using piano samples,NA,NA,1.5 seconds,"MMNm, Pitch, Contour, Interval, Voice (High/Low), Tonality (In-key/Out-of-key)",Passive listening to polyphonic melody pairs (oddball paradigm) with MEG recording,20,"Right-handed adult males, 10 musicians (≥5 years training) and 10 nonmusicians, mean age ~25.5","Mixed Groups, Moderate Training (5-10 years)",Whole-head MEG system (CTF OMEGA),151 channels,"Polyphonic condition elicited stronger MMNm overall; musicians showed larger MMNm than nonmusicians, especially to high-voice deviants; in-key deviants evoked larger MMNm than out-of-key; MMNm was left-lateralized in musicians and right-lateralized in nonmusicians.",312.5 Hz,Magnetically shielded room,Digital MEG signals,"Artifact rejection, Signal-space projection, Baseline correction, Bootstrap resampling",Massachusetts Institute of Technology,"MMNm via signal space projection, Auditory dipole modeling, Bootstrapped confidence intervals","Repeated-measures ANOVA (4-way), Fisher’s PLSD, t-tests",Event-locked to 5th note onset of melodies,Journal of Cognitive Neuroscience 17(10):1578–1592
Automatic Encoding of Polyphonic Melodies in Musicians and Nonmusicians,"Takako Fujioka, Laurel J. Trainor, Bernhard Ross, Ryusuke Kakigi, Christo Pantev",2005,https://doi.org/10.1162/089892905774597263,NA,Study examined MMNm responses to deviant notes in polyphonic and monophonic melodic contexts in musicians and nonmusicians.,Controlled,Chords/Melody,"One 5-note melody (A or B), presented without polyphonic pairing",NA,NA,1.5 seconds,"MMNm, Pitch, Contour, Interval, Tonality (In-key/Out-of-key)",Passive listening to single melodies with occasional deviant final notes,20,"Right-handed adult males, 10 musicians (≥5 years training) and 10 nonmusicians, mean age ~25.5","Mixed Groups, Moderate Training (5-10 years)",Whole-head MEG system (CTF OMEGA),151 channels,Monophonic condition elicited MMNm in both groups but with reduced amplitude compared to polyphonic condition; musicians still had greater MMNm overall; behavioral performance was better for out-of-key deviants and higher in musicians.,312.5 Hz,Magnetically shielded room,Digital MEG signals,"Artifact rejection, Signal-space projection, Baseline correction, Bootstrap resampling",Massachusetts Institute of Technology,"MMNm via signal space projection, Auditory dipole modeling, Bootstrapped confidence intervals","Repeated-measures ANOVA (4-way), Fisher’s PLSD, t-tests",Event-locked to 5th note onset of melodies,Journal of Cognitive Neuroscience 17(10):1578–1592
Discovering EEG Signals Response to Musical Signal Stimuli by Time-frequency analysis and Independent Component Analysis,"Wei-Chih Lin, Hung-Wen Chiu, Chien-Yeh Hsu",2005,https://doi.org/10.1109/IEMBS.2005.1617036,NA,Metal music produced high between-subject agreement; most consistent spectral profiles; lower variation in ICA maps across subjects,Controlled,Musical Excerpt,Heavy metal music with high rhythmic intensity,NA,NA,5 minutes,"Frequency band power (delta, theta, alpha, beta, gamma), ICA spatial patterns, Time-frequency plots",Passive listening with eyes closed; 5 music segments presented through earphones,6,"3 male, 3 female, ages 20–28, college students",Not reported,Stellate Harmonie,"21 channels, 10–20 system, Fp1–O2, A1/A2 linked ears",Frontal channels showed strong consistent power response; metal induced similar EEG patterns across listeners,200 Hz,Sound-controlled lab room using headphones,Digital EEG traces,"FFT, Normalization, Artifact rejection, ICA applied for noise separation",© 2005 IEEE,"Time-frequency analysis, Independent Component Analysis, Spectral normalization",Correlation coefficient analysis (within/between subjects),Segment timing by stimulus category,"EMBC 2005 Proceedings, Shanghai, China"
Discovering EEG Signals Response to Musical Signal Stimuli by Time-frequency analysis and Independent Component Analysis,"Wei-Chih Lin, Hung-Wen Chiu, Chien-Yeh Hsu",2005,https://doi.org/10.1109/IEMBS.2005.1617036,NA,"Sonata music induced elevated alpha-band power (8–12 Hz), especially during middle segments; lower cross-subject similarity compared to metal music",Controlled,Musical Excerpt,"Classical sonata music (e.g., Mozart K. 448)",Wolfgang Amadeus Mozart,"Sonata for Two Pianos in D Major, K.448",5 minutes,"Frequency band power (delta, theta, alpha, beta, gamma), ICA spatial patterns, Time-frequency plots",Passive listening with eyes closed; 5 music segments presented through earphones,6,"3 male, 3 female, ages 20–28, college students",Not reported,Stellate Harmonie,"21 channels, 10–20 system, Fp1–O2, A1/A2 linked ears","Frontal and parietal regions (F3, F4, Pz) showed differential power activation; more subject-specific EEG patterns in response to sonata",200 Hz,Sound-controlled lab room using headphones,Digital EEG traces,"FFT, Normalization, Artifact rejection, ICA applied for noise separation",© 2005 IEEE,"Time-frequency analysis, Independent Component Analysis, Spectral normalization",Correlation coefficient analysis (within/between subjects),Segment timing by stimulus category,"EMBC 2005 Proceedings, Shanghai, China"
Discovering EEG Signals Response to Musical Signal Stimuli by Time-frequency analysis and Independent Component Analysis,"Wei-Chih Lin, Hung-Wen Chiu, Chien-Yeh Hsu",2005,https://doi.org/10.1109/IEMBS.2005.1617036,NA,Favorite songs produced diverse EEG responses; lowest between-subject correlation; activity varied across all frequency bands,Controlled,Musical Excerpt,Favorite song chosen by each subject (varied genre),Varied,NA,5 minutes,"Frequency band power (delta, theta, alpha, beta, gamma), ICA spatial patterns, Time-frequency plots",Passive listening with eyes closed; 5 music segments presented through earphones,6,"3 male, 3 female, ages 20–28, college students",Not reported,Stellate Harmonie,"21 channels, 10–20 system, Fp1–O2, A1/A2 linked ears",Highly individual EEG patterns; responses depended on genre and personal familiarity,200 Hz,Sound-controlled lab room using headphones,Digital EEG traces,"FFT, Normalization, Artifact rejection, ICA applied for noise separation",© 2005 IEEE,"Time-frequency analysis, Independent Component Analysis, Spectral normalization",Correlation coefficient analysis (within/between subjects),Segment timing by stimulus category,"EMBC 2005 Proceedings, Shanghai, China"
Pitch Discrimination Accuracy in Musicians vs Nonmusicians,"Mari Tervaniemi, Viola Just, Stefan Koelsch, Andreas Widmann, Erich Schröger",2005,https://doi.org/10.1007/s00221-004-2044-5,NA,Investigated pitch discrimination abilities in musicians vs nonmusicians using both behavioral testing and EEG event-related potentials in response to pitch deviants.,Controlled,Synthetic tones,"Complex tones (528 Hz standard and deviants at +0.76%, +2.1%, +4.2%) with 4 harmonics",N/A,N/A,300 ms tones; 600 ms SOA,Pitch discrimination; frequency deviance,Oddball paradigm with 3 deviant conditions in passive reading (unattend) and active detection (attend); button press in attend condition,26,"13 musicians (mean age ~27.7), 13 nonmusicians (mean age ~21.9)",Mixed Groups,SynAmps (NeuroScan),10 channels + mastoids + EOG,Musicians had enhanced N2b and P3 amplitudes and better behavioral detection in attend condition; no MMN difference in unattend condition,200 Hz,Electrically and acoustically shielded cabin,Not publicly provided,"Band-pass 1–20 Hz, artifact rejection >100µV, mastoid referencing for MMN, nose reference for others",© Springer-Verlag 2004,"ERP components (MMN, P3a, N2b, P3); amplitude quantification in 40-ms windows","2-way and 3-way ANOVAs, post hoc t-tests, Greenhouse-Geisser correction",Deviant stimulus onset,Experimental Brain Research 161:1–10
The Perception of Musical Phrase Structure: A Cross-Cultural ERP Study,"Yun Nan, Thomas R. Knösche, Angela D. Friederici",2006,https://doi.org/10.1016/j.brainres.2006.03.115,NA,ERP study comparing how German and Chinese musicians perceive phrasing in culturally familiar and unfamiliar melodies.,Controlled,Musical Excerpt,Western biphrasal melodies with phrased and unphrased conditions,NA,NA,3–17 seconds (varied),"Phrase boundary perception, CPS, N1, P2, Cultural familiarity","ERP while categorizing melody as Western, Chinese, or combined",12,"German female musicians, ages 21–37, Formal Training Start Age Mean: 7",Moderate Training (5-10 years),Ag-AgCl cap,"51 channels, 10-20 system","The CPS was elicited across all conditions; early ERP components (N1, P2) were modulated by musical style and cultural background.",250 Hz,Electrically shielded room,Digital EEG traces,"Artifact rejection, Bandpass filtering (0.25–100 Hz), Baseline correction, Manual inspection",Elsevier,"ERP averaging, Running t-tests, Time-windowed component analysis","Repeated-measures ANOVA (4-way), Session × Group ANOVA",Trigger at phrase boundary offset,Brain Research 1094:179–191
The Perception of Musical Phrase Structure: A Cross-Cultural ERP Study,"Yun Nan, Thomas R. Knösche, Angela D. Friederici",2006,https://doi.org/10.1016/j.brainres.2006.03.115,NA,ERP study comparing how German and Chinese musicians perceive phrasing in culturally familiar and unfamiliar melodies.,Controlled,Musical Excerpt,Chinese biphrasal melodies with phrased and unphrased conditions,NA,NA,3–17 seconds (varied),"Phrase boundary perception, CPS, N1, P2, Cultural familiarity","ERP while categorizing melody as Western, Chinese, or combined",10,"Chinese female musicians, ages 21–37, Formal Training Start Age Mean: 8",Moderate Training (5-10 years),Ag-AgCl cap,"51 channels, 10-20 system","The CPS occurred regardless of musical style, but cultural background influenced early ERP responses to phrasing.",250 Hz,Electrically shielded room,Digital EEG traces,"Artifact rejection, Bandpass filtering (0.25–100 Hz), Baseline correction, Manual inspection",Elsevier,"ERP averaging, Running t-tests, Time-windowed component analysis","Repeated-measures ANOVA (4-way), Session × Group ANOVA",Trigger at phrase boundary offset,Brain Research 1094:179–191
Effects of Unexpected Chords and of Performer’s Expression on Brain Responses and Electrodermal Activity,"Stefan Koelsch, Simone Kilches, Nikolaus Steinbeis, Stefanie Schelinski",2008,https://doi.org/10.1371/journal.pone.0002631,NA,The study examined how harmonic expectancy and expressive performance affect brain and physiological responses.,Controlled,Chords/Melody,"Original excerpts with unexpected chords, expressive performance","Ludwig van Beethoven, Franz Schubert, W.A. Mozart, Joseph Haydn",NA,8–16 seconds,"Music-syntactic expectancy, ERAN, N5, SCR, Emotional arousal",Passive listening with timbre-deviant detection (button press),20,"Right-handed nonmusicians, ages 19–29, 10 female",No Formal Training,Not Reported,"32 channels, 10-20 system + SCR + ECG",ERAN present; no effect of expression. N5 larger in expressive. SCRs elevated for unexpected chords and expressive performance.,500 Hz,Soundproofed room with fixation cross,Digital EEG and physiological traces,"Artifact rejection, Bandpass filtering (0.25–25 Hz), Baseline correction, Manual inspection",Creative Commons Attribution License,"ERP averaging (ERAN, N5), SCR amplitude averaging, ROI-based analysis","Repeated-measures ANOVA, Paired t-tests, Chi-square tests",Time-locked to final chord onset in each excerpt,PLoS ONE 3(7): e2631
Effects of Unexpected Chords and of Performer’s Expression on Brain Responses and Electrodermal Activity,"Stefan Koelsch, Simone Kilches, Nikolaus Steinbeis, Stefanie Schelinski",2008,https://doi.org/10.1371/journal.pone.0002631,NA,The study examined how harmonic expectancy and expressive performance affect brain and physiological responses.,Controlled,Chords/Melody,"Original excerpts with unexpected chords, non-expressive performance","Ludwig van Beethoven, Franz Schubert, W.A. Mozart, Joseph Haydn",NA,8–16 seconds,"Music-syntactic expectancy, ERAN, N5, SCR, Emotional arousal",Passive listening with timbre-deviant detection (button press),20,"Right-handed nonmusicians, ages 19–29, 10 female",No Formal Training,Not Reported,"32 channels, 10-20 system + SCR + ECG",ERAN present; no effect of expression. N5 larger in expressive. SCRs elevated for unexpected chords and expressive performance.,500 Hz,Soundproofed room with fixation cross,Digital EEG and physiological traces,"Artifact rejection, Bandpass filtering (0.25–25 Hz), Baseline correction, Manual inspection",Creative Commons Attribution License,"ERP averaging (ERAN, N5), SCR amplitude averaging, ROI-based analysis","Repeated-measures ANOVA, Paired t-tests, Chi-square tests",Time-locked to final chord onset in each excerpt,PLoS ONE 3(7): e2631
Effects of Unexpected Chords and of Performer’s Expression on Brain Responses and Electrodermal Activity,"Stefan Koelsch, Simone Kilches, Nikolaus Steinbeis, Stefanie Schelinski",2008,https://doi.org/10.1371/journal.pone.0002631,NA,The study examined how harmonic expectancy and expressive performance affect brain and physiological responses.,Controlled,Chords/Melody,"Excerpts with expected (tonic) chords, expressive performance","Ludwig van Beethoven, Franz Schubert, W.A. Mozart, Joseph Haydn",NA,8–16 seconds,"Expected cadence, SCR, Emotional valence baseline",Passive listening with timbre-deviant detection (button press),20,"Right-handed nonmusicians, ages 19–29, 10 female",No Formal Training,Not Reported,"32 channels, 10-20 system + SCR + ECG",No ERAN or N5 effect. Used as expected cadence baseline. Lower SCRs overall.,500 Hz,Soundproofed room with fixation cross,Digital EEG and physiological traces,"Artifact rejection, Bandpass filtering (0.25–25 Hz), Baseline correction, Manual inspection",Creative Commons Attribution License,"ERP averaging (baseline), SCR control","Repeated-measures ANOVA, Paired t-tests, Chi-square tests",Time-locked to final chord onset in each excerpt,PLoS ONE 3(7): e2631
Effects of Unexpected Chords and of Performer’s Expression on Brain Responses and Electrodermal Activity,"Stefan Koelsch, Simone Kilches, Nikolaus Steinbeis, Stefanie Schelinski",2008,https://doi.org/10.1371/journal.pone.0002631,NA,The study examined how harmonic expectancy and expressive performance affect brain and physiological responses.,Controlled,Chords/Melody,"Excerpts with expected (tonic) chords, non-expressive performance","Ludwig van Beethoven, Franz Schubert, W.A. Mozart, Joseph Haydn",NA,8–16 seconds,"Expected cadence, SCR, Emotional valence baseline",Passive listening with timbre-deviant detection (button press),20,"Right-handed nonmusicians, ages 19–29, 10 female",No Formal Training,Not Reported,"32 channels, 10-20 system + SCR + ECG",No ERAN or N5 effect. Used as expected cadence baseline. Lower SCRs overall.,500 Hz,Soundproofed room with fixation cross,Digital EEG and physiological traces,"Artifact rejection, Bandpass filtering (0.25–25 Hz), Baseline correction, Manual inspection",Creative Commons Attribution License,"ERP averaging (baseline), SCR control","Repeated-measures ANOVA, Paired t-tests, Chi-square tests",Time-locked to final chord onset in each excerpt,PLoS ONE 3(7): e2631
Effects of Unexpected Chords and of Performer’s Expression on Brain Responses and Electrodermal Activity,"Stefan Koelsch, Simone Kilches, Nikolaus Steinbeis, Stefanie Schelinski",2008,https://doi.org/10.1371/journal.pone.0002631,NA,The study examined how harmonic expectancy and expressive performance affect brain and physiological responses.,Controlled,Chords/Melody,"Excerpts with very unexpected (Neapolitan) chords, expressive performance","Ludwig van Beethoven, Franz Schubert, W.A. Mozart, Joseph Haydn",NA,8–16 seconds,"Harmonic violation, Neapolitan, N5, SCR, Surprise",Passive listening with timbre-deviant detection (button press),20,"Right-handed nonmusicians, ages 19–29, 10 female",No Formal Training,Not Reported,"32 channels, 10-20 system + SCR + ECG",ERAN increased vs. expected; N5 enhanced in expressive. SCRs highest in expressive Neapolitan condition.,500 Hz,Soundproofed room with fixation cross,Digital EEG and physiological traces,"Artifact rejection, Bandpass filtering (0.25–25 Hz), Baseline correction, Manual inspection",Creative Commons Attribution License,"ERP averaging (ERAN, N5), SCR amplitude averaging","Repeated-measures ANOVA, Paired t-tests, Chi-square tests",Time-locked to final chord onset in each excerpt,PLoS ONE 3(7): e2631
Effects of Unexpected Chords and of Performer’s Expression on Brain Responses and Electrodermal Activity,"Stefan Koelsch, Simone Kilches, Nikolaus Steinbeis, Stefanie Schelinski",2008,https://doi.org/10.1371/journal.pone.0002631,NA,The study examined how harmonic expectancy and expressive performance affect brain and physiological responses.,Controlled,Chords/Melody,"Excerpts with very unexpected (Neapolitan) chords, non-expressive performance","Ludwig van Beethoven, Franz Schubert, W.A. Mozart, Joseph Haydn",NA,8–16 seconds,"Harmonic violation, Neapolitan, N5, SCR, Surprise",Passive listening with timbre-deviant detection (button press),20,"Right-handed nonmusicians, ages 19–29, 10 female",No Formal Training,Not Reported,"32 channels, 10-20 system + SCR + ECG",ERAN increased vs. expected; N5 not modulated. SCRs elevated but lower than expressive condition.,500 Hz,Soundproofed room with fixation cross,Digital EEG and physiological traces,"Artifact rejection, Bandpass filtering (0.25–25 Hz), Baseline correction, Manual inspection",Creative Commons Attribution License,"ERP averaging (ERAN, N5), SCR amplitude averaging","Repeated-measures ANOVA, Paired t-tests, Chi-square tests",Time-locked to final chord onset in each excerpt,PLoS ONE 3(7): e2631
Single Trial Classification of EEG and Peripheral Physiological Signals for Recognition of Emotions Induced by Music Videos,"Sander Koelstra, Ashkan Yazdani, Mohammad Soleymani, Christian Mühl, Jong-Seok Lee, Anton Nijholt, Thierry Pun, Touradj Ebrahimi, Ioannis Patras",2010,https://doi.org/10.1007/978-3-642-15314-3_9,NA,This study developed single-trial EEG classification for music video-induced emotion using PSD and CSP features,Controlled,Music Videos,20 two-minute music videos spanning 5 valence-arousal quadrants,Multiple commercial artists,NA,2 minutes,"Valence, Arousal, Like/Dislike, Alpha, Theta, Beta, Gamma, Power Spectrum, CSP features, PSD features","Watched 20 music videos and rated valence, arousal, and like/dislike after each; EEG and peripheral signals recorded",6,"Healthy adults, mixed gender, average ages not reported",Not Reported,Biosemi ActiveTwo,"32 channels, 10–20 system","Average classification rates: Valence 58.8%, Arousal 55.7%, Like/Dislike 49.4%; EEG frequency power correlates with subjective valence/arousal ratings",512 Hz,Laboratory with controlled light and temperature,Digital EEG traces,"Common average referencing, high-pass (0.5 Hz), bandpass (0.5–35 Hz), ICA for artifact removal, downsampling to 100 Hz",Springer-Verlag Lecture Notes in Computer Science,"Power spectrum, Common Spatial Patterns (CSP), Frequency band correlation","Spearman correlation, Linear SVM, PCA, Leave-one-trial-out CV, Fisher’s method",Synchronization marker at trial onset,Lecture Notes in Computer Science 6334: 89–100
